Speaker,Speech
Anand Kumar — Bahraich,"Sir, thank you for giving me the opportunity to ask my question. Sir, the Central Government supplements the efforts of the State Governments to deal with disasters like floods under several schemes and also provides requisite logistics and financial assistance for the same. At present, the State Government is carrying out preventive measures every year to avoid floods, but the areas affected by floods are so large that the efforts of the State Government alone are not enough. The Ministry has acknowledged before the Parliament Standing Committee that in view of the increasing threat of floods due to climate change and other reasons, the Central Government needs to take more initiative. Sir, through you, my question to the Honorable Jal Shakti Minister is that how much amount has been released by the Central Government to the said Prussian Government in the last three years for flood mitigation and flood protection and how much amount has been released by the State Government especially in the district Bahraich for flood damage, embankment etc. Have repairs, anti-erosion measures and all other legal projects been approved and has any new scheme been made by the Government to find permanent solutions for flood relief, embankment repair, anti-erosion measures, so that damage caused by floods and erosion can be prevented?"
T.R. Baalu — Sriperumbudur,"Sir, the concern raised by the honorable member regarding Bahraich is justified. Most of its area, about 18 pips, is affected by floods, but the state government has just said that there is no need to do any more work on this from the state side and separate work is being done on that. Here in the first plan of Total India, in the 11th plan of FMBAP, Rs. 8 thousand crores were suctioned. In the 15th plan, Rs 10 thousand crores were given to them. Still around Rs 4,100 crores have been sucked here. Till date, he has spent around Rs 8 thousand crores on behalf of the state, his own money and that of the Centre. He has just told that there is no other scheme proposed here. A route will be found by working on the river which is coming from Nepal side in the state. Efforts will be made to protect the flood affected area. This has been stated by the State Government."
Anand Kumar — Bahraich,"Sir, thank you. Sir, Bahraich has been classified as a highly vulnerable flood affected district by the Government of Uttar Pradesh. The Mesa Diu region is situated on the border of Bihar, Taiai region of North Prussia and Nepal. The Siyu and Ghaghya rivers, originating from the mountains in the plains, are the first to come into Bahaich. Every year during the rainy season, people and property are lost due to floods and thousands of hectares of agricultural land is lost due to erosion. The cultivable land of farmers affected by floods and erosion gets absorbed into the river every year. Such farmers are forced to leave agricultural work and become unemployed. Sir, I have a question through you to the Honorable Jal Shakti Minister, whether the Government will consider facilitating the availability of more agricultural land for such farmers or making arrangements for their resettlement and employment, which can be helpful for the livelihood of them and their families. Thank you."
T.R. Baalu — Sriperumbudur,"Honorable Speaker, from the Ministry of Water Resources, no such scheme exists as of now or it is not being considered. This work is done by different ministries and the state government also keeps aircraft for this purpose with all its departments. While Rs 118 crore has been allocated by the State so far for Bahraich, flood protection works worth Rs 110 crore have been completed under FM WEB, which has benefited the area around Bahraich. Honorable Speaker: You don't have any plan of your own in this? No sir. Honorable Speaker: Okay. SHRIMATI SAJDA AHMED (ULUBERIA): Sir, recurrent and avoidable flooding in my constituency – Udaynarayanpur, Amta, and Bagnan in Howrah along with the adjoining districts of Hooghly and Bankura occurs each year due to improper operation and water release from the Maithon and Panchet dams of DVC. Will the hon. Minister kindly state what measures are being undertaken to ensure scientific and responsible reservoir management, and what framework the Government intends to establish to make dam operation decisions transparent and accountable? Well, the translation is not of our subject and its translation has also not come. Honorable Speaker: Honorable Member, please ask once again. SHRIMATI SAJDA AHMED (ULUBERIA): Sir, recurrent and avoidable flooding in my constituency – Udaynarayanpur, Amta, and Bagnan in Howrah along with the adjoining districts of Hooghly and Bankura occurs each year due to improper operation and water release from the Maithon and Panchet dams of DVC. Will the hon. Minister kindly state what measures are being undertaken to ensure scientific and responsible reservoir management, and what framework the Government intends to establish to make dam operation decisions transparent and accountable? Honorable Speaker: Okay, it is here now? Si, he still hasn't come. Honorable Speaker: Coming in English. Sir, it is coming in English, but not in Hindi. He asked something about the dam next door, but his question did not reach us properly. ...(Observation) Honorable Speaker: Please wait a bit, give some arrangement. Are you not speaking Hindi properly? Sir, please ask in Hindi. Honorable Speaker: No problem, something might have gone wrong in the testing, please say it again. ...(Hay Vadhan)"
Ummeda Ram Beniwal — Barmer,"Do you want to say one more thing? ...(Haya Vidhan) Honorable Speaker: It is good for you, you got up three times. ...(Haya Vidhan) Honorable Speaker: All the Honorable Members and Honorable Ministers are also requested to note which language, which script is in front of all of you, which is on the desk. You try one or two more times. If you know any problem, then you can write in the table office, we will clean that problem and work to improve the condition. Honorable Minister Sir, you spoke. ...(Hay Vadhan)"
T.R. Baalu — Sriperumbudur,"Sir, I had written the Hindi text in the press, but it appeared in the first question, but later there was no sound in it. Honorable Speaker: Please ask again. ...(Hay Vaadhan) No sir. Whatever is released in TVC is done in coordination with all the states and under that, if any specific question is asked as to where it should be released, then we could have given a separate answer for it, but this question is not specifically for that. Honorable Speaker: Jagvimbaka Pal ji, please wait for a minute. I think this is a very serious issue and this is a serious problem in the area of ​​many honorable MPs, that is why a lot of complementaries have also come. If you write on this, we will consider. ...(Hay Vadhan)"
Saugata Roy — Dum Dum,"Sir, I am grateful to you, Dr. I am thankful to Anand Kumar ji that he has asked a question about a very big problem and the honorable minister has answered it as to how much money has been given to Bahraich.… (Hayavidhan) His Honorable Member: Sir, no voice is coming.… (Hayavidhan)"
Saugata Roy — Dum Dum,"Sir, India's border with Nepal is approximately 1465 kilometers. From Tinkapu in Uttarakhand to the village of Bihar of Rajya Jaiswal ji, which also includes Uttar Pradesh and Bihar. Sir, I want to know from the honorable minister through you that the rivers of Nepal, be it Kosi, Banganga, Sapti, Syu, due to the water of these rivers coming from above, there are cities like Siddharshangi, Bahicha, Baliampu situated on the border of India, there these rivers keep changing their course. Well, meandering keeps happening, due to which many villages come into the catchment of the river. Those villages are completely washed out due to floods, is there such a policy that the people of those villages can be evacuated?"
Saugata Roy — Dum Dum,"Sir, I am talking about rehabilitation."
Saugata Roy — Dum Dum,"Sir, I am talking about policy."
T.R. Baalu — Sriperumbudur,"Honorable Speaker, it comes under the Ministry of Home Affairs. If any assistance is to be given to the people and areas affected due to floods, then it does not come under our ministry. However, to prevent floods, many schemes have been made to reduce the impact of floods down to the ground level by making arrangements within the North-Eastern state itself. Wherever there is a need and when funds for the same are sought from the State Government, the C.W.C. If we decide that there is a need for it, we allocate them technical support and fittings."
Ajendra Singh Lodhi — Hamirpur,"Mr. Chairman, thank you. Speaker sir, you and everyone must have seen that in the last few years, in the last two-three years, there were many floods in the Sutleju and Hayas rivers in Wahamachal Pradesh, due to which the coastline which was earlier damaged was also damaged, but the biggest thing is that there is mining and mining mafia there. Just as thousands of trees had come together in the movie 'Pashpu Pa', it seemed as if thousands of trees had suddenly come together in the flood of Himachal Pradesh. The illegal mining going on there is causing harm. There is also loss due to the Vetambi mafia. But, due to the disaster, which is being talked about being declared a 'national disaster', a huge problem of coastal erosion has arisen because a problem has arisen for thousands of acres of land. My question to the Honorable Minister is that how much money have you given to Himachal Pradesh for coastal reclamation till now and what is your total budget for coastal reclamation for the entire year? Sir, I want to ask you a question regarding arrangement."
Ajendra Singh Lodhi — Hamirpur,"Sir, I want to request you. … (Hayavadhana)"
Ajendra Singh Lodhi — Hamirpur,"Yes, absolutely sir. I want to request you with folded hands. …(Legislation) Sir, this is for the information of the House. E-Visagit has been banned in India. Have you allowed it in the House?"
Ajendra Singh Lodhi — Hamirpur,"Sir, TMC's Saas D.P. TMC MP has been sitting and drinking continuously for many days.… (Hayavidhan) Sir, you get it checked.… (Hayavidhan)"
Ajendra Singh Lodhi — Hamirpur,"Sir, this is a very serious matter. Sitting in the House, cigarette is being smoked.… (Hayavidhan)"
T.R. Baalu — Sriperumbudur,"Honorable Speaker, the member has asked how much money has been allocated so far for flood management in the Himachal region...(Haya Vidhan) Sir, Rs 8,625 crore has been allocated so far....(Haya Vidhan) Flood zone chopping to prevent further natural disasters. If this is done, then peace can be created over it also. Thank you…(Hayavadhaan) Honorable Speaker: Please, you are seated. I am giving you peace. ....(Haya Vidhan) Honorable Speaker: Honorable members, if you have any objection on any topic, then please write. If any such action is taken then I will definitely take action on it. ....(Haya Vidhan) Honorable Speaker: Honorable Minister, please reply. Honorable Speaker, the honorable member had asked about Wahamachal Pradesh. So far Rs 8,625 crore has been allocated. If flood zone chopping is done, then at the most other arrangements can also be made... (Haya Vidhan) Honorable Speaker: Honorable Minister Sir, please send the answer to the question raised by Mrs. Sajda Ahmed ji in writing. ....(Haya Vidhan Sabha) Honorable Speaker: Honorable Member, a ban has been imposed for you also. ....(Haya Vadhaan) (Q. 163)"
Sasikanth Senthil — Thiruvallur(Sc),"Sir, this question pertains to a very important subject relating to Tamil Nadu. There have been some blocks being put under bid for exploration of oil and natural gas. One of such blocks is in a very sensitive portion in the Gulf of Mannar, which is known as a biosphere reserve. It is just like we have a reserved forest outside; this is a biosphere reserve inside the ocean. It is very sensitive because it is absolutely important for the fisherman folk of Tamil Nadu. In fact, the NITI Aayog has itself declared this particular Wadge Bank and Gulf of Mannar as to be the most sensitive portion which cannot be affected for any reason. Sir, the hon. Minister has replied to me and he has also said that this is not in the boundary of that portion. But I would like to bring this to the notice of the Hon. Minister that this area is so sensitive that any exploration or anything which you do nearby, will affect the fishermen in the long run. In fact, he is also silent about the letter written by the hon. Chief Minister of Tamil Nadu to the Ministry of Petroleum to leave this particular CY-DWHP-2024/1 notification outside. But, I do not think if any consultation has happened with the State of Tamil Nadu; neither any consultation has happened with the fisherman folk of Tamil Nadu. If this kind of one-sided centralized bidding announcements are made without having any consultation with the people on the ground, how will we protect the lives of these fishermen? I would like the hon. Minister to answer to the House."
Giriraj Singh — Begusarai,"I am deeply grateful to the hon. Member for raising this issue, because this gives me an opportunity to clarify on the floor of the House as to what the facts are. Honorable Speaker: Honorable Minister, do not answer with your hands in your pockets. It is indeed a fact that the hon. Chief Minister had written to us. It is also a fact that I have sent a very comprehensive reply to the hon. Chief Minister. In the reply, I have stated categorically what the position on the ground is. Now, I would like to draw the attention of the hon. Member to the thrust of my reply which is in paragraph 3; which says: “Mere award of blocks does not entitle the awardees to initiate drilling activities. To ensure environmental safeguards, drilling can commence only after due clearance under the Environmental Impact Assessment (EIA notification, 2006) as amended.” The EIA process which extends to offshore areas up to 12 nautical miles involves scientific assessment, necessary coastal regulatory zone clearance, which means the State has to clear it and also get the clearance with the Ministry of Environment, Forest and Climate Change. Only upon securing these clearances, compliances under environmental guidelines, companies can begin drilling process, within all mandated safeguards and process. Having said this categorically in the reply or the letter to the Chief Minister, I am surprised how the hon. Member, who belongs to my fraternity, if I may be able to reach out to him, he has been a civil servant like me, was not shared the letter. How the letter to the Chief Minister has not been shared with him? But I would be happy to send my reply to the Chief Minister, to the hon. Member. Let me also clarify that if there is a genuine concern, the Central Government, the hon. The Prime Minister, the Minister of Environment, Forest and Climate Change, and all of us, are equally, if not more, concerned with issues like marine life and environmental clearances. We are not second to that. Therefore, to suggest, when we are doing something when it is outside the block, is factually not correct. …The second issue is this. Let me say categorically, and I have a map here. Honorable Speaker: Honorable Minister is not in a bad mood, please speak softly."
Giriraj Singh — Begusarai,I feel happy to share this map with you. …
Manickam Tagore — Virudhunagar,"Sir, How can he show the map here? … Honorable Speaker: No, this can be shown, these are not facts, this is a map. .....(Hay Vadhan)"
Giriraj Singh — Begusarai,"Sir, I want to state before my fellow Member that I have a longstanding association with the State of Tamil Nadu. Let me say that, I will be happy, if in addition to the response that I have given to the Chief Minister or the reply that I am giving here, if there are any residual points, I would like to invite the hon. Member to my room for it. But let me give an overall context setting. Sir, we are consuming 5.6 million barrels of crude oil a day. Our total production is a fraction and the blocks which we are releasing under the Open Acreage Licensing Policy, we are trying to meet them through domestic availability. Let us not start shooting at non-existing targets. If it is something in the marine zone, we do not need to go there. We do not want to start another controversy."
Sasikanth Senthil — Thiruvallur(Sc),"Sir, I deeply thank the Minister for accepting it. This is a very sensitive zone. I just want to lay a parallel. The hon. Minister is saying that we have just notified. Let the notification happen and then let the EIA continue. I am extending a parallel. Would you notify anything on a reserved forest.? Is it possible today in this country? … I would like to know whether you would notify anything which is outside of this? Just because this is not visible, this is even more sensitive than the forest. … Honorable Speaker: Honorable Minister. …Sir, let me finish my question."
Giriraj Singh — Begusarai,"Sir, I am very happy at any time of day and in the evening to enter into the discussion on semantics. What this means, what this word means is, I am stating categorically that this is outside the marine reserve. This is outside the wadge bank. Let me give you the answer which I have given in Para 1. Let me read it out. It says very clearly… Sir, if I may answer the text of the question, now we are playing with words. Would you do something about it? …I would not do it in a reserved forest. I would also not do it anywhere else. But that is not the issue. The question is on this award and I am giving you the answer here. I am giving you the answer which is very categorical. Without environmental clearance or forest clearance, no drilling can be done. You have to give the coastal clearance. You are not even aware of your own facts. The State Government has to give the clearance. … Honorable Speaker: Honorable Minister, please tell me the address of the seat. .....(Haya Vidhan) Honorable Speaker: Savthal ji, please sit for a minute. I also urge all the members and honorable ministers to not vote directly, the order of voting goes to the member through the Speaker. Smt. Kavanmozhi Karunavanavadha. SHRIMATI KANIMOZHI KARUNANIDHI (THOOTHUKKUDI): Thank you, Sir. Sir, it is just a continuation of the question that the hon. Member had asked. This Gulf of Mannar, this particular area, has been declared as a sanctuary for dugongs, the sea cows which are very, very calm marine animals. It will be very good for us to go and watch them also. It will calm us down a lot. See, they are called the sea cows … It has been announced as a sanctuary for the dugongs. So, I think, we have to take special care, not even to go there and not even to think of exploring those places because these are the endangered species and we have to protect them. I think that has to be the foremost and the most important priority for us. ...Thank you. Sir, I am thankful to the hon. Member for raising a concern about sea cows or dugongs, as they are called. I am acutely familiar with that environmental species, and, I am very happy to have any discussion with them. But the fact of the matter is that these are the three different areas we are speaking about. The question is about the Wadge Bank. It is in South of Comorin. Comorin is the traditional name of what we now call Kanyakumari. That Wadge Bank is completely away. What the hon. Member is referring to are three blocks separately, which were awarded in April of 2025. As I said, the same safeguards apply to it. We have to go through the same clearances that up to 12 nautical miles, the State Government comes in and the State Government has to give a clearance, and beyond that, the Central Government comes in. All I can say is that the sensitivity and the concern are fully shared by me and the Government which I serve. Thank you, Sir. (Question 164)"
Pradip Purohit — Bargarh,"Speaking Sir, first of all I want to thank the Prime Minister of India Shri Narendra Modi ji and I want to thank him because the schemes made by Modi ji are completed within five years. They do not move from one election to another. Earlier the biggest water circuit was in the shed. The biggest problem in this area was how to supply drinking water to the rural households. The Ministry of Water Resources was formed in the year 2019. Honorable Minister has given a vital report in response to my question, for which I also thank him. Under that report, as of August 15, 2019, there was provision of 3.11, i.e. 3.11 lakh gms of drinking water in Ovisha and the report given on December 7, 2025… (Hayavadhana)"
Pradip Purohit — Bargarh,"Speaker, I want to ask that currently 68.38 lakh families are getting drinking water and the 'Jal Jeevan Mission Scheme' has been extended till the year 2028, then what is the target to make it 100 points in Ovisha? Along with this, my second question is that the Central Government gives financial assistance, so is some financial assistance still required to be given to the Odisha Government?"
T.R. Baalu — Sriperumbudur,"Honorable Speaker, about 88 pints of water have been supplied in Ovisha under Jal Jeevan Mission. More water will be supplied near 12 pistachios in the coming days. This is the biggest scheme of the Honorable Prime Minister in the entire scheme. Earlier women used to go to milk to get water. Every day about 9 crore women went out to fetch water and they had to spend about 5 hours a day fetching water. Today they are getting pure water in their own backyard. Whether the water is pure or not, the government has issued a certificate to 25 lakh women in 5 lakh villages. Through that, they can check whether the water is suitable for drinking or not. The scheme of providing water with full fountain and 55 liters of water per village has been made by the Honorable Prime Minister on behalf of the Central Government and he is also taking it forward. When the honorable member has talked about money, I want to tell you that complaints have also been received from many states on this issue. Many complaints have also come from many states that the work has not been done as much as the money they have raised from the Central Government. As per the instructions of the Honorable Prime Minister, we have given the report of these measures which were announced in different states to the Chief Ministers and Chief Secretaries of all the states so that they can take action and report back to us. Wherever the work has been completed, unless we send that plan for verification, it will not be possible for us to give them money. This work should be completed even before the state, this is my expectation from you."
Pradip Purohit — Bargarh,"Sir, I would like to know from Honorable Minister ji that in Ovisha which is our Baghgarh Lok Sabha constituency, there are some villages like - Sapiya, Padampu, Nivashaipu, Khajaguda, Amamudu, this project has been started for a long time, but due to lack of much interest in the Ghini Naal scheme, it has not been started from the contract people. That work has not been completed. You people pay money based on the UC that comes from the government, but is there any institution of the Central Government to monitor it or not?"
T.R. Baalu — Sriperumbudur,"The Honorable Member told that water has not reached many places and because of that, for the complete package which had come, the Honorable Prime Minister had given instructions to first verify it, tap water should go everywhere. At many places only pipes were laid, at many places only taps were installed, but there was no water. Water should come from the tap, this is also our insistence and work will be done on that basis. When the verification comes, the State Khadu will do videography and report that all the villages of that village have been flooded, this will be reported to the Gram Sabha and only after that the money can be released. Before that all this is nothing. Another bill also wanted to ask the same question, for them the answer was the same that the money would be received only when the work is completed."
Harish Meena — Tonk–Sawai Madhopur,"Thank you Mr. President. Sir, I would like to thank the Honorable Minister that he has sanctioned the Eastern Rajasthan Canal Project for drinking water of 13 districts of Eastern Rajasthan. 13 districts of our eastern Rajasthan will get drinking water. Since its area of ​​influence in the Lok Sabha is quite large, I want to know from the Minister that under this scheme, how many villages will be affected by the proposed dam in the Mere forest constituency and how many will be submerged? Please talk to those farmers and make arrangements to get them replaced with proper Maa Waja. Thank you."
T.R. Baalu — Sriperumbudur,"Honorable Speaker, you are also from Rajasthan. Rajasthan has the highest water shortage in the entire region. According to the way Honorable Prime Minister Narendra Modi has planned for Rajasthan, Rajasthan will get water under this scheme worth about Rs 77 thousand crores. Rajasthan is also going to get water because of the MoU signed between Wahamachal and Matu Mittri of Rajasthan in the presence of the Honorable Prime Minister. Practice is currently going on on the PPI that has come from Rajasthan. It is not known which village will be submerged, how much will be submerged. But the money that is to be given will necessarily be given to them as per the rules."
Jitan Ram Manjhi — Gaya(Sc),"Sir, I have given up writing."
E. Tukaram — Bellary(St),"Sir, I am raising the issue of Jal Jeevan Mission. Karnataka has performed well in this programme. So, the State Level Committee has approved the total outstanding amount of Rs. 69,487 crores. In that, the State Government has already incurred this matching expenditure. Now, the State share is pending. The total share of Karnataka is Rs. 13,005 crore. Till date, it is pending. When are you releasing this payment and finishing this JJM Programme? It is a sensitive issue. This is a national flagship programme. What I am asking is that please release this outstanding amount for completing this JJM programme."
T.R. Baalu — Sriperumbudur,"Honorable Speaker Sir, I had just answered this question that the verification of the money that has been allocated to each state and what they have spent has not yet come. We have met Karnataka Matu Minister and Deputy Matu Minister, Shri B.K. Told Vishwakumar ji also that we have a meeting with him next week. We had said that unless your verification comes, it is not possible to allocate the second year. We have told them this repeatedly and have also expressed it in writing. There is also a gift in Meeting. As soon as the verification comes from their side, out of about Rs 15 crore, only Rs 45 lakh has been verified. This is very less. Regarding the disturbance that has happened in this, he says with regret that there has been a disturbance. That problem has to be stopped and action has to be taken against it. Our Prime Minister also has such a habit. We will try to allocate the money as soon as this work is done. (Ivat) (Question 165)"
Sanjay Jadhav — Parbhani,"Speaker Sir, I would like to know from the Honorable Minister through you what initiatives have been taken by the Government under the Saphu Vartha Yojana Cluster to increase the competitiveness of traditional crafts and industries and reduce the cost of production, especially to provide permanent support to the artisans and rural entrepreneurs in rural areas. What steps have been taken by the government to provide employment? Meerut subsidized area is a backward area, what steps has the government taken under this scheme for the promotion of small scale industries to the workers of this area?"
Joba Majhi — Singhbhum(St),"Speaker Sir, as far as the Sfutvarsh scheme is concerned, it has been postponed from about the year 2022, but about 553 Sfutvarsh schemes are in force in all the states and regions. Its purpose has been explained in the answer and what should we do following it? According to their area and what they have told, the action is being taken here and there is a funding scheme for the revival of the import industry, which is the Saphuvarsh Scheme, which is being run by the Ministry of Micro, Small and Medium Enterprises. Its objective is to organize the production groups of traditional input industries and artisans and provide them assistance so that they can produce quality competitive products. As I said that it was started in the year 2015-16 and 513 clusters were sanctioned, assistance of about Rs 1332.95 crore has been given and as of 11.12.2025 there are 513 clusters, out of which 376 clusters are affected. And work is going on on 137 clusters, for which Rs 1101 crore has been released. 2814 workers have benefited from this. In this way, as far as their area is concerned, I want to tell that as per the regional information we have, especially if this has been asked in all the religions of Maharashtra, then 14 clusters are functioning in Maharashtra. His list is there. You can see it. Accordingly, it contains complete details as to how much, where and what work has been done in which cluster. Accordingly, the same arrangements are being made in that state."
Sanjay Jadhav — Parbhani,"Speaker Sir, since the inception of this scheme till now, there has been no evaluation of the impact of the first cluster in the stipulated time for the state of Maharashtra, i.e. how many workers were created in Maharashtra, how much their income increased, how much employment was created and the diversification of the product. When did it happen? What is its description?"
Joba Majhi — Singhbhum(St),"Speaker Sir, a committee was formed to implement this scheme and examine what benefits it has provided to the state and the state and what benefits have been derived from our 'Safuvarsh Yojana'. The year 2021 was given by the Indian Institute of Management, Lucknow to investigate the revival of the transportation industry. One more study has been done in the year 2022. NITI Aayog has included 50 clusters from six states in it. He gave some suggestions. Accepting that suggestion, we have taken action on it. We have our BIC for the areas where defects have been found. We have given hope to him to see that appropriate action is taken. As we have come to know that there have been irregularities in the BIC, there has also been action to take legal action against them."
Omprakash Rajenimbalkar — Osmanabad,"Speaker Sir, I would like to know through you from the Honorable Minister, what is the impact of Saphu Varsh Cluster on employment, income and production diversification in Maharashtra? To what extent has this scheme brought about the revival of traditional folk industries and crafts like Khadi rural industries, handicrafts, agro products etc.? Does the Government have any special scheme for subsidized areas under this scheme, as we have categorized aspirational water?"
Joba Majhi — Singhbhum(St),"Speaker Sir, in the context of Maharashtra, as I said, 14 Saphu Vaas schemes were implemented and their detailed instructions have been given. It is difficult to read them all, it will take time. If these tourists want to ask about the cluster of any place, then I have its details. I can tell them. (Iwat) (pp.22-30) (Question 166)"
Anup Dhotre — Akola,"Sir, the PM JANMAN Scheme, a major Government initiative, was launched in November, 2023. It was meant for vulnerable tribal groups. Under that Scheme, basic facilities like road, water, and sanitation were supposed to be provided. Therefore, I would like to know from the Government the status of household coverage of water supply in Maharashtra State. What are the steps taken by the Government under the Jal Jeevan Mission to improve the quality of drinking water in the State of Maharashtra?"
T.R. Baalu — Sriperumbudur,"Speaker Sir, the details of the scheme to provide water to every household under 'Jal Jeevan Mission', his question is about Akola district, have been given. He had asked about Maharashtra. About 2 crore 23 lakh liters of water has been supplied. … (Interruption) (Ivat) Question Hour ends… (Interruption) Honorable Speaker: This issue is serious, we will talk about it. For this Novice Via Tax. There is no discussion by sitting in the chair and speaking, it is a legal process. Decision regarding the notices of adjournment motion 1200 hrs Honorable Speaker: Honorable Members, I have received the notice of adjournment motion of my nominated member - Shri Virendra Vashai, Prof. Saugata Roy, Shri Kovikunni Saru She, Shri B. Mevanakkame Taigor, Mr. Vijayakumar or Vijay Vasant, Advocate Chandrasher, Dr. Mehmed Javed, Mr. Amera Ramey, Mr. Menish Watwari, Mr. Kudip Iora, Mr. Ame. Kathir Aani. I have not allowed notice of any adjournment motion today. --- … (obstacle)"
Rajesh Verma — Khagaria,"Madam, I am presenting on the floor of the House the proposal prepared by the All-India Standing Committee on Health and Family Welfare (first and early versions): - (1) Regarding 'Implementation of new AIIMS (Phase-I) under the Pradhan Mantri Swasthya Suraksha Yojana (PMESSY)' as amended by the Minister of Health and Family Welfare, 111. 166th report containing all action taken by the government on the recommendations/advances contained in the report. (2) Action taken by the Government on the recommendations/observations contained in the 157th Report on 'Quality of Medical Education in India' made by the Ministry of Health and Family Welfare - 167th Report. (3) Action taken by the Government on the recommendations/prospects contained in the 165th Report regarding the route 2025-26 (track no. 4) of all the proposed research on AYUSH system - 168th Report. (4) 169th Report - Action taken by the Government on the recommendations/observations contained in the 164th Report regarding the Research Path 2025-26 (Path No. 47) of the Ministry of Health and Family Welfare. (5) 170th Report - Action taken by the Government on the recommendations/observations contained in the 163rd Report regarding the Budget 2025-26 (Megh No. 46) of the Ministry of Health and Family Welfare, Department of Health and Family Welfare. --- MOTION RE: REPORT OF JOINT COMMITTEE ON THE CONSTITUTION (ONE HUNDRED AND TWENTY-NINTH AMENDMENT) BILL, 2024 AND THE UNION TERRITORIES LAWS (AMENDMENT) BILL, 2024 – EXTENSION OF TIME 1205 hours"
P. P. Chaudhary — Pali,"Sir, I beg to move the following motion:- “That this House do extend time for the presentation of the Report of the Joint Committee on the ‘Constitution (One Hundred and Twenty-ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment ) Bill, 2024’ up to the first day of last week of the Budget Session, 2026”. Hon'ble Chairman (Shri Krishna Prasad Tennenty): The question is: “That this House is in favor of presenting the report of the Sub-Committee on ‘The Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territory Laws (Amendment) Bill, 2024’. “Extends the deadline to the first day of the last week of the 2026 legislative session.” The proposal was accepted. ----- *On issues of public importance at 1206 pm #SHRIMATI BAG MITALI (ARAMBAG): Thank you Chairperson Sir for allowing me to speak. I pay my respects to Shri Shri Ramkrishna Thakur & Maa Sarada. The hardworking laborers of West Bengal toiled diligently, putting in their sweat and effort, to complete the 100-day work scheme. The central government unilaterally stopped funding for the state, depriving 59 Lakh workers of their rightful wages. Even those who constructed roads according to the government's stipulated 60:40 ratio have not received their due payments. The central government owes the state 52,000 crore rupees. In this way, the BJP government has become like a landlord. West Bengal was among the leading states in terms of performance in this project. But the BJP's feudalistic mentality against West Bengal has caused immense suffering to the common people. Our leader, Smt. Mamata Banerjee, fought this matter in court. Although the Supreme Court directed the central government to restart the MGNREGA work, it has not yet done so. The anti-Bengal Modi government has not complied with the High Court's order to resume the work. It's not just my plea; on behalf of the hardworking people of West Bengal, I request that the funds due to Bengal be released as soon as possible, the workers be given their rightful respect, and the project be restarted. Thank you very much for giving me this opportunity to speak. Hail Bangla."
Anita Nagar Singh Chouhan — Ratlam(St),"Madam, you gave me time to speak during zero hour, for this I thank you. My Lok Sabha constituency is a tribal dominated area, which is the Awari and Gujrat district of Madhya Pradesh. Here brothers and sisters work as farmers. There are manual laborers here and a large number of people in the family, hence a large number of migrant brothers and sisters migrate to the state every night to work in manual labor, in sugarcane factories or for other jobs. Madam, my request is that keeping in mind the farmer brothers of tribal dominated Ratama, Jhabua, Avirajpur, consideration should be given to increasing the wages under the MGNREGA scheme in Madhya Pradesh, so that they can work in the district itself. *PleaseseeP.374fortheListofMemberswhohaveassociated. #OriginalinBengali * SHRI BAJRANG MANOHAR SONWANE (BEED): Honorable speaker, Thank you Sir. Today I am drawing the attention of this House to a very painful and thought-provoking reality. MBBS-MD students who are pursuing medical education have to work for at least 36 hours. The unbearable work pressure put on them is beyond human limits. In most of the hospitals in the country, these young doctors have to work for 36 to 48 hours continuously without any rest. This is unpleasant to hear but, this is their professional reality. In other fields, the work limit of 8 to 12 hours is followed, so why inhuman rules for these doctors who are pursuing MBBS-MD? A common man cannot even drive a vehicle safely after staying awake for 24 hours, because the result is fatigue, restlessness, stress. On the other hand, the doctors who are in the medical field provide continuous medical services despite lack of sleep, mental pressure, physical fatigue. This is an injustice to their lives and safety. A tired doctor not only endangers himself but also the patients who come to him for medical treatment. When doctors get tired, the entire health system gets tired. When doctors collapse, the entire medical system collapses. Today, I request the House that we need to consider the lives, health, and safety of these young doctors seriously. The 36 to 48-hour shifts they are doing should be stopped immediately and they should be given an 8-hour shifts so that their work can be limited. This is my humble request to you that the injustice done to doctors should be stopped immediately. Thank you."
Amrinder Singh Raja Warring — Ludhiana,"Honorable Chairman, I would like to draw the attention of the people towards the condition of law and order of Punjab. *OriginalinMarathi Madam, the entire Punjabi is full of words, there is a word of word in Punjabi. Every time, videos are coming to the person either from the secret or from the jail and ransom is being demanded. In case of non-payment of dowry money, one or the other action is taken every day, due to which the businessmen and people of entire Punjab are in trouble. Recently, there was a disturbance in a wedding program in Vidhana Soudha at 1.30 pm, in which both the cowherds and the people attending the wedding saved their lives by hiding under the bills. Two of the people who came to the wedding died. Not only this, the Akademi has also elected a magistrate. Now they are trying to force the Chief Minister to vote by voting in Pavikwax. I want to tell the Central Government that a law has been made to allow a renowned police officer, who is in jail during the night, to be sent for promotion, and he cannot be taken out of the jail during the night. In such a situation, Punjab is surviving but both the Central and State governments are living as moneylenders. Now not only the people but also the politicians and bureaucrats have started getting calls, they can see how much their opinion has increased. The area of ​​Bomar Security Trust is also 50 Kms large but the center and center of Punjab is becoming the center of education. From the bottom of my heart, I request Shri Gehri Metri ji to pay attention to this and work to save Punjab."
